role,generation,mean_fitness,size,optimal_genotype,interaction_values
predator,191,0.7617040625412236,4011,[1. 1. 1. 1. 1.],"(-0.1, 0.6)"
predator,192,0.7609551981864064,4103,[1. 1. 1. 1. 1.],"(-0.1, 0.6)"
predator,193,0.763095318111247,4123,[1. 1. 1. 1. 1.],"(-0.1, 0.6)"
predator,194,0.7617875860481077,4261,[1. 1. 1. 1. 1.],"(-0.1, 0.6)"
predator,195,0.7612036656160353,4044,[1. 1. 1. 1. 1.],"(-0.1, 0.6)"
predator,196,0.7609089494142115,4113,[1. 1. 1. 1. 1.],"(-0.1, 0.6)"
predator,197,0.7625185614744362,4080,[1. 1. 1. 1. 1.],"(-0.1, 0.6)"
predator,198,0.7601020541550527,4200,[1. 1. 1. 1. 1.],"(-0.1, 0.6)"
predator,199,0.7592321851045407,4203,[1. 1. 1. 1. 1.],"(-0.1, 0.6)"
prey,0,0.3797949262521362,200,[0.51249191 0.5293483  0.43245026 0.3841241  0.42377833],"(-0.1, 0.7)"
prey,1,0.35039674542581567,146,[0.53284575 0.56323238 0.44378697 0.41422317 0.45865072],"(-0.1, 0.7)"
prey,2,0.2650018982662361,90,[0.54324823 0.57942492 0.47561349 0.45830039 0.48529524],"(-0.1, 0.7)"
prey,3,0.04716906727068151,29,[0.57049189 0.60380319 0.49467224 0.49424429 0.52948904],"(-0.1, 0.7)"
prey,4,0.0,4,[0.59601325 0.62286273 0.52490854 0.52927491 0.55918054],"(-0.1, 0.7)"
prey,5,0.0,0,[0.6302936  0.63888449 0.55286394 0.54323474 0.5674868 ],"(-0.1, 0.7)"
prey,6,0.0,0,[0.65063168 0.6477477  0.59223379 0.55324689 0.58356884],"(-0.1, 0.7)"
prey,7,0.0,0,[0.69244264 0.67110925 0.60831432 0.58130708 0.596595  ],"(-0.1, 0.7)"
prey,8,0.0,0,[0.71685075 0.70906298 0.62890722 0.63058465 0.6164756 ],"(-0.1, 0.7)"
prey,9,0.0,0,[0.73227533 0.72141237 0.67417708 0.63067325 0.64650448],"(-0.1, 0.7)"
prey,10,0.0,0,[0.76229326 0.74747192 0.69199    0.67481642 0.65264084],"(-0.1, 0.7)"
prey,11,0.0,0,[0.79910968 0.76574758 0.69349249 0.67861018 0.66257077],"(-0.1, 0.7)"
prey,12,0.0,0,[0.81796188 0.79087841 0.72082235 0.72573794 0.66469396],"(-0.1, 0.7)"
prey,13,0.0,0,[0.86087728 0.79127737 0.77066118 0.72905356 0.69155015],"(-0.1, 0.7)"
prey,14,0.0,0,[0.87316147 0.82102689 0.77714403 0.76182856 0.72020835],"(-0.1, 0.7)"
prey,15,0.0,0,[0.89549853 0.86937795 0.82417111 0.7665834  0.75096531],"(-0.1, 0.7)"
prey,16,0.0,0,[0.93305362 0.89846463 0.84821837 0.80121748 0.77858258],"(-0.1, 0.7)"
prey,17,0.0,0,[0.9632198  0.94337173 0.8662077  0.81950526 0.78298173],"(-0.1, 0.7)"
prey,18,0.0,0,[0.97599249 0.9439992  0.87351973 0.85284104 0.79545215],"(-0.1, 0.7)"
prey,19,0.0,0,[1.         0.94442397 0.90085901 0.88564037 0.81402023],"(-0.1, 0.7)"
prey,20,0.0,0,[1.         0.9940554  0.924792   0.89241821 0.84820879],"(-0.1, 0.7)"
prey,21,0.0,0,[1.         1.         0.93757737 0.93868791 0.89457095],"(-0.1, 0.7)"
prey,22,0.0,0,[1.         1.         0.94912792 0.93882333 0.94293198],"(-0.1, 0.7)"
prey,23,0.0,0,[1.         1.         0.98139353 0.96553404 0.95656088],"(-0.1, 0.7)"
prey,24,0.0,0,[1.         1.         1.         0.98979034 0.9793863 ],"(-0.1, 0.7)"
prey,25,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,26,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,27,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,28,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,29,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,30,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,31,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,32,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,33,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,34,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,35,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,36,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,37,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,38,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,39,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,40,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,41,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,42,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,43,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,44,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,45,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,46,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,47,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,48,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,49,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,50,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,51,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,52,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,53,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,54,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,55,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,56,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,57,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,58,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,59,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,60,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,61,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,62,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,63,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,64,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,65,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,66,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,67,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,68,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,69,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,70,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,71,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,72,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,73,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,74,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,75,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,76,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,77,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,78,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,79,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,80,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,81,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,82,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,83,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,84,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,85,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,86,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,87,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,88,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,89,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,90,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,91,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,92,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,93,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,94,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,95,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,96,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,97,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,98,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,99,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,100,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,101,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,102,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,103,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,104,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,105,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,106,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,107,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,108,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,109,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,110,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,111,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,112,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,113,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,114,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,115,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,116,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,117,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,118,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,119,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,120,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,121,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,122,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,123,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,124,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,125,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,126,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,127,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,128,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,129,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,130,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,131,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,132,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,133,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,134,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,135,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,136,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,137,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,138,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,139,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,140,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,141,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,142,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,143,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,144,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,145,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,146,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,147,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,148,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,149,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,150,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,151,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,152,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,153,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,154,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,155,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,156,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,157,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,158,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,159,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,160,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,161,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,162,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,163,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,164,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,165,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,166,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,167,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,168,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,169,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,170,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,171,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,172,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,173,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,174,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,175,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,176,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,177,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,178,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,179,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,180,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,181,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,182,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,183,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,184,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,185,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,186,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,187,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,188,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,189,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,190,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,191,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,192,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,193,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,194,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,195,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,196,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,197,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,198,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
prey,199,0.0,0,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,0,0.3955438724125444,200,[0.3052163  0.43092678 0.4668969  0.43784111 0.3478621 ],"(-0.1, 0.7)"
predator,1,0.6546695226961919,169,[0.30974111 0.45580324 0.4800509  0.47406043 0.35733988],"(-0.1, 0.7)"
predator,2,0.5226027959339175,231,[0.34769643 0.49395627 0.5132686  0.48635234 0.40067931],"(-0.1, 0.7)"
predator,3,0.45720929002370525,264,[0.34795706 0.5406371  0.53884436 0.52138894 0.44346054],"(-0.1, 0.7)"
predator,4,0.4397286331524546,265,[0.39396933 0.57203799 0.58277339 0.55073686 0.45994452],"(-0.1, 0.7)"
predator,5,0.4700862507741854,212,[0.41668945 0.58291029 0.62769811 0.56591751 0.48981462],"(-0.1, 0.7)"
predator,6,0.4879747296494733,198,[0.41976092 0.6179789  0.64146201 0.57756086 0.50498253],"(-0.1, 0.7)"
predator,7,0.5334783855313076,177,[0.43981892 0.63460915 0.68166906 0.62377364 0.54296114],"(-0.1, 0.7)"
predator,8,0.5385389678404473,194,[0.4564725  0.67815847 0.70144438 0.66731851 0.54432886],"(-0.1, 0.7)"
predator,9,0.5470971937577649,216,[0.50227269 0.70358635 0.70159273 0.67826208 0.59045094],"(-0.1, 0.7)"
predator,10,0.5547990391680275,215,[0.52594783 0.73045701 0.72933018 0.71085657 0.61574072],"(-0.1, 0.7)"
predator,11,0.5657078271000181,246,[0.5652936  0.77041643 0.77916081 0.72290274 0.61876257],"(-0.1, 0.7)"
predator,12,0.5705084833642257,248,[0.60861327 0.79801149 0.80689222 0.73891925 0.65094358],"(-0.1, 0.7)"
predator,13,0.5811615790330285,299,[0.64348327 0.825503   0.8219309  0.78169089 0.67246473],"(-0.1, 0.7)"
predator,14,0.5748715463226634,331,[0.66944792 0.83635742 0.84838884 0.82654612 0.67872799],"(-0.1, 0.7)"
predator,15,0.5787686518843261,395,[0.71029904 0.84500501 0.85478694 0.83953501 0.69271154],"(-0.1, 0.7)"
predator,16,0.5841004783742914,504,[0.74856679 0.88792681 0.89481726 0.85491034 0.7415175 ],"(-0.1, 0.7)"
predator,17,0.5859467315201163,558,[0.76601927 0.92523481 0.93704873 0.89104786 0.74186377],"(-0.1, 0.7)"
predator,18,0.5836651698785903,672,[0.78266535 0.92905132 0.9644628  0.93126625 0.75952839],"(-0.1, 0.7)"
predator,19,0.5780858985990601,735,[0.788164   0.96010733 0.96681286 0.97743817 0.78263168],"(-0.1, 0.7)"
predator,20,0.5764756419938034,760,[0.83500537 0.96165752 0.96791499 1.         0.78460393],"(-0.1, 0.7)"
predator,21,0.5780134673325042,777,[0.87133341 0.99618642 0.99551193 1.         0.83377696],"(-0.1, 0.7)"
predator,22,0.5656264847605604,863,[0.90996218 1.         0.99769984 1.         0.83642493],"(-0.1, 0.7)"
predator,23,0.5703571147100287,880,[0.92822188 1.         1.         1.         0.85815086],"(-0.1, 0.7)"
predator,24,0.5715235004996502,906,[0.93810209 1.         1.         1.         0.86345664],"(-0.1, 0.7)"
predator,25,0.5740765825973552,960,[0.94619015 1.         1.         1.         0.87714638],"(-0.1, 0.7)"
predator,26,0.5740865855896462,992,[0.96071719 1.         1.         1.         0.92352775],"(-0.1, 0.7)"
predator,27,0.5735048415945575,1057,[0.98847825 1.         1.         1.         0.96737782],"(-0.1, 0.7)"
predator,28,0.5732054508441027,1151,[1.         1.         1.         1.         0.97008475],"(-0.1, 0.7)"
predator,29,0.5824052591470043,1208,[1.         1.         1.         1.         0.99466366],"(-0.1, 0.7)"
predator,30,0.5852664371455285,1237,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,31,0.5937219686496839,1236,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,32,0.608220487689364,1291,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,33,0.6171620128391245,1353,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,34,0.6261866454593888,1518,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,35,0.6365973864184378,1617,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,36,0.6461320351253869,1690,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,37,0.6485005583982162,1848,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,38,0.6579418145355282,1980,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,39,0.6646274641518082,2140,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,40,0.6757186385444018,2337,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,41,0.680806228358364,2534,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,42,0.6842003874453653,2652,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,43,0.6924645607611571,2735,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,44,0.6984041521128485,2833,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,45,0.7042407264223339,2975,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,46,0.7100826048838621,3085,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,47,0.7122138685897099,3116,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,48,0.7161666013993758,3133,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,49,0.7202414693387332,3223,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,50,0.725808163993703,3376,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,51,0.7298485908416722,3440,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,52,0.7333275843252327,3564,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,53,0.7357832271856843,3671,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,54,0.7400312713497048,3663,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,55,0.7394944047001847,3853,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,56,0.7404122658416624,3697,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,57,0.7412729214841536,3756,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,58,0.7424535512046598,3698,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,59,0.7446077825192003,3804,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,60,0.7458840590503392,3813,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,61,0.745404250211474,3823,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,62,0.7498465405417516,3804,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,63,0.7525810281809103,3910,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,64,0.7515785791946251,4008,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,65,0.7507633414624627,4172,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,66,0.7513117509586508,4072,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,67,0.7531555112242939,4069,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,68,0.7523165560570464,4098,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,69,0.7536323126954066,4052,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,70,0.7540932040535008,4218,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,71,0.7542185573408293,4228,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,72,0.7558045596546008,4231,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,73,0.7546990570106562,4115,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,74,0.752059968905769,3996,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,75,0.7521316822442241,4003,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,76,0.7510617651728136,3944,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,77,0.7524760050234408,4068,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,78,0.7527891886616016,4063,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,79,0.7550841959763005,4039,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,80,0.7550300479462522,4125,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,81,0.7541978050118118,4201,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,82,0.7552343787881122,4355,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,83,0.7564661686902817,4179,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,84,0.757740661534446,4035,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,85,0.7564247840962778,4067,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,86,0.7579787705000638,4110,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,87,0.7576053319182897,4082,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,88,0.7577682935001447,4088,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,89,0.755141279287244,4087,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,90,0.7565961068146169,4083,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,91,0.7564251800481672,4042,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,92,0.7567693339230401,4171,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,93,0.7574147432971419,4080,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,94,0.759704296297004,4100,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,95,0.7596913884293625,4291,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,96,0.7610811661837106,4269,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
predator,97,0.7592645322093806,4334,[1. 1. 1. 1. 1.],"(-0.1, 0.7)"
