role,generation,mean_fitness,size,optimal_genotype,interaction_values
prey,47,0.5598593615694171,788,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,48,0.571550894312232,824,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,49,0.5785585085465403,833,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,50,0.5903168600588004,826,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,51,0.5976131804287378,926,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,52,0.608517046662436,1002,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,53,0.6163164161118518,1140,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,54,0.6235421752809597,1220,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,55,0.6283876584415635,1254,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,56,0.6354752853929262,1389,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,57,0.6451971572239091,1575,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,58,0.6533805924408155,1751,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,59,0.6658803041212045,1842,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,60,0.6749731711206606,2061,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,61,0.6796513625828476,2343,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,62,0.6862358937431609,2524,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,63,0.690801304575135,2696,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,64,0.6951752117474056,2796,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,65,0.7014767564556152,2864,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,66,0.7054059140602086,3046,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,67,0.7095538439987762,3092,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,68,0.7143753156701294,3164,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,69,0.7187168528506348,3310,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,70,0.7235499587142407,3341,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,71,0.7280791083990228,3471,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,72,0.7324229721302689,3604,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,73,0.7364922764127381,3480,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,74,0.7379865921830421,3599,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,75,0.7411499625667228,3631,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,76,0.743579495696696,3781,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,77,0.7440381391364753,3778,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,78,0.7437947915371836,3976,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,79,0.7459399737106988,3943,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,80,0.7443069942497249,3927,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,81,0.7458241621278721,3957,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,82,0.7469410786100225,3907,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,83,0.7460968826404581,4127,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,84,0.7467878877013464,4180,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,85,0.7439206082763073,4190,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,86,0.7439421218427751,4063,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,87,0.7430824196014276,3834,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,88,0.742166305103159,3960,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,89,0.7449041143927067,3997,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,90,0.7463548055790401,4088,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,91,0.7484162017648954,3931,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,92,0.7497679356459891,3893,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,93,0.750584325990281,4108,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,94,0.750212720731819,4007,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,95,0.7527924804532727,4035,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,96,0.7542747049080931,4159,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,97,0.7541970909947632,4132,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,98,0.7539348308289789,4122,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,99,0.757391631054408,4060,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,100,0.756935338912766,4084,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,101,0.7572571356822667,4187,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,102,0.7577420570427534,4172,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,103,0.7575440710713096,4151,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,104,0.7563940770177513,4202,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,105,0.7564920606550734,4127,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,106,0.7579586971070547,4130,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,107,0.7550984824489068,4143,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,108,0.7550502243081326,4167,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,109,0.755159887533878,4111,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,110,0.7562335098927903,4024,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,111,0.7558807989254023,4061,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,112,0.7550538136884324,4186,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,113,0.7572951941231023,4364,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,114,0.7589996626439144,4171,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,115,0.7589036846624803,4262,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,116,0.7578723882318776,4064,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,117,0.7563020082688859,4132,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,118,0.7563137564502982,4117,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,119,0.7549457378736762,4120,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,120,0.7546544516651953,4225,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
