role,generation,mean_fitness,size,optimal_genotype,fitness_coefficients
prey,0,3.3753486230830835e-15,200,[0. 0. 0. 0. 0.],"(0.1, 0.1)"
prey,1,0.0,0,[0.00646903 0.01879106 0.00495731 0.0311477  0.02234371],"(0.1, 0.1)"
prey,2,0.0,0,[0.04199012 0.03973724 0.03082091 0.03535835 0.0715725 ],"(0.1, 0.1)"
prey,3,0.0,0,[0.05072937 0.07213876 0.04309364 0.07123642 0.11041357],"(0.1, 0.1)"
prey,4,0.0,0,[0.06314374 0.12153946 0.06256313 0.10786706 0.14464983],"(0.1, 0.1)"
prey,5,0.0,0,[0.06412632 0.16550911 0.11084362 0.12494558 0.16157518],"(0.1, 0.1)"
prey,6,0.0,0,[0.10363048 0.19632365 0.11308665 0.15607293 0.17702106],"(0.1, 0.1)"
prey,7,0.0,0,[0.12395362 0.23491545 0.13728051 0.20094954 0.22240912],"(0.1, 0.1)"
prey,8,0.0,0,[0.16420958 0.27742208 0.15173803 0.24856255 0.22490213],"(0.1, 0.1)"
prey,9,0.0,0,[0.21222792 0.27965149 0.15889112 0.24926327 0.25324505],"(0.1, 0.1)"
prey,10,0.0,0,[0.23520607 0.30459989 0.16250178 0.28348504 0.27840607],"(0.1, 0.1)"
prey,11,0.0,0,[0.27882579 0.3352557  0.17036198 0.33160194 0.30432435],"(0.1, 0.1)"
prey,12,0.0,0,[0.32777316 0.36034918 0.19310982 0.36927572 0.31094788],"(0.1, 0.1)"
prey,13,0.0,0,[0.37058084 0.36531106 0.19764586 0.3824105  0.35468618],"(0.1, 0.1)"
prey,14,0.0,0,[0.41002654 0.37699558 0.22960596 0.39419462 0.3903692 ],"(0.1, 0.1)"
prey,15,0.0,0,[0.43140363 0.3850386  0.26462335 0.43213803 0.39565902],"(0.1, 0.1)"
prey,16,0.0,0,[0.45818808 0.40474812 0.30703351 0.45678717 0.41925415],"(0.1, 0.1)"
prey,17,0.0,0,[0.48278448 0.43338675 0.31895037 0.49648492 0.44357829],"(0.1, 0.1)"
prey,18,0.0,0,[0.49122745 0.45642039 0.33430475 0.49824288 0.45973555],"(0.1, 0.1)"
prey,19,0.0,0,[0.51009487 0.46933173 0.34647811 0.52113111 0.49771155],"(0.1, 0.1)"
prey,20,0.0,0,[0.52703152 0.49751858 0.35672707 0.55823088 0.50032551],"(0.1, 0.1)"
prey,21,0.0,0,[0.54299278 0.54281416 0.36305892 0.56715687 0.52497702],"(0.1, 0.1)"
prey,22,0.0,0,[0.58915709 0.5700554  0.37654605 0.60227681 0.55792211],"(0.1, 0.1)"
prey,23,0.0,0,[0.589353   0.62002843 0.41665973 0.64161296 0.58340841],"(0.1, 0.1)"
prey,24,0.0,0,[0.61633609 0.62390261 0.41756118 0.64672957 0.60393335],"(0.1, 0.1)"
prey,25,0.0,0,[0.62175611 0.66769927 0.45671919 0.65513547 0.62954637],"(0.1, 0.1)"
prey,26,0.0,0,[0.62427226 0.67084464 0.46608652 0.65675901 0.66671402],"(0.1, 0.1)"
prey,27,0.0,0,[0.6367211  0.68945999 0.47881971 0.68120656 0.68708441],"(0.1, 0.1)"
prey,28,0.0,0,[0.63944657 0.73128198 0.50441664 0.70755694 0.71516414],"(0.1, 0.1)"
prey,29,0.0,0,[0.64526315 0.77978782 0.50551574 0.74769181 0.7545659 ],"(0.1, 0.1)"
prey,30,0.0,0,[0.68440044 0.82666188 0.5401121  0.75548439 0.76673803],"(0.1, 0.1)"
prey,31,0.0,0,[0.73040244 0.85917464 0.54463305 0.80287721 0.77966589],"(0.1, 0.1)"
prey,32,0.0,0,[0.75045096 0.87671013 0.58327506 0.84303574 0.78733653],"(0.1, 0.1)"
prey,33,0.0,0,[0.75997005 0.89504622 0.58856531 0.87444607 0.79340513],"(0.1, 0.1)"
prey,34,0.0,0,[0.78767501 0.90377115 0.60750048 0.91660331 0.82561578],"(0.1, 0.1)"
prey,35,0.0,0,[0.81488131 0.94079662 0.64534682 0.94693912 0.83395515],"(0.1, 0.1)"
prey,36,0.0,0,[0.83175516 0.94170068 0.66536331 0.97443297 0.86493428],"(0.1, 0.1)"
prey,37,0.0,0,[0.8395858  0.99043868 0.70749022 0.9994768  0.91400535],"(0.1, 0.1)"
prey,38,0.0,0,[0.84286711 1.         0.73703354 1.         0.92678866],"(0.1, 0.1)"
prey,39,0.0,0,[0.88097648 1.         0.74740911 1.         0.97017482],"(0.1, 0.1)"
prey,40,0.0,0,[0.9285616  1.         0.79081402 1.         0.98768414],"(0.1, 0.1)"
prey,41,0.0,0,[0.95282494 1.         0.80993219 1.         1.        ],"(0.1, 0.1)"
prey,42,0.0,0,[0.98636131 1.         0.82380833 1.         1.        ],"(0.1, 0.1)"
prey,43,0.0,0,[1.         1.         0.82788202 1.         1.        ],"(0.1, 0.1)"
prey,44,0.0,0,[1.         1.         0.84003825 1.         1.        ],"(0.1, 0.1)"
prey,45,0.0,0,[1.         1.         0.86092368 1.         1.        ],"(0.1, 0.1)"
prey,46,0.0,0,[1.         1.         0.90696222 1.         1.        ],"(0.1, 0.1)"
prey,47,0.0,0,[1.        1.        0.9297355 1.        1.       ],"(0.1, 0.1)"
prey,48,0.0,0,[1.         1.         0.94020292 1.         1.        ],"(0.1, 0.1)"
prey,49,0.0,0,[1.         1.         0.96318365 1.         1.        ],"(0.1, 0.1)"
prey,50,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,51,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,52,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,53,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,54,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,55,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,56,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,57,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,58,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,59,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,60,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,61,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,62,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,63,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,64,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,65,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,66,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,67,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,68,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,69,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,70,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,71,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,72,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,73,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,74,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,75,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,76,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,77,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,78,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,79,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,80,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,81,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,82,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,83,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,84,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,85,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,86,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,87,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,88,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,89,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,90,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,91,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,92,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,93,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,94,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,95,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,96,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,97,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,98,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,99,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,100,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,101,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,102,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,103,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,104,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,105,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,106,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,107,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,108,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,109,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,110,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,111,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,112,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,113,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,114,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,115,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,116,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,117,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,118,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,119,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,120,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,121,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,122,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,123,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,124,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,125,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,126,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,127,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,128,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,129,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,130,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,131,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,132,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,133,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,134,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,135,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,136,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,137,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,138,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,139,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,140,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,141,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,142,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,143,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,144,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,145,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,146,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,147,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,148,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,149,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,150,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,151,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,152,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,153,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,154,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,155,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,156,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,157,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,158,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,159,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,160,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,161,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,162,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,163,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,164,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,165,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,166,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,167,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,168,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,169,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,170,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,171,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,172,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,173,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,174,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,175,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,176,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,177,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,178,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,179,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,180,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,181,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,182,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,183,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,184,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,185,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,186,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,187,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,188,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,189,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,190,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,191,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,192,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,193,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,194,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,195,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,196,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,197,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,198,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
prey,199,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,0,3.3753486230830835e-15,200,[0. 0. 0. 0. 0.],"(0.1, 0.1)"
predator,1,0.0,0,[0.03889925 0.01102352 0.0082283  0.02031661 0.04632927],"(0.1, 0.1)"
predator,2,0.0,0,[0.07221961 0.02529373 0.03751872 0.02579073 0.0946211 ],"(0.1, 0.1)"
predator,3,0.0,0,[0.1058906  0.0560187  0.08214218 0.02972207 0.11116684],"(0.1, 0.1)"
predator,4,0.0,0,[0.11649466 0.06796858 0.09620641 0.05027843 0.12288309],"(0.1, 0.1)"
predator,5,0.0,0,[0.11684925 0.10198112 0.1374784  0.05760884 0.13086641],"(0.1, 0.1)"
predator,6,0.0,0,[0.13528551 0.14046769 0.17802516 0.07762668 0.17822406],"(0.1, 0.1)"
predator,7,0.0,0,[0.13965635 0.18729236 0.2193019  0.11719221 0.18826963],"(0.1, 0.1)"
predator,8,0.0,0,[0.14715181 0.21417141 0.24809153 0.14944972 0.18911808],"(0.1, 0.1)"
predator,9,0.0,0,[0.19376516 0.24746877 0.2892244  0.15011378 0.21621885],"(0.1, 0.1)"
predator,10,0.0,0,[0.2320226  0.2717333  0.29669348 0.18252662 0.22483816],"(0.1, 0.1)"
predator,11,0.0,0,[0.23566752 0.30307495 0.30935343 0.2227113  0.26572927],"(0.1, 0.1)"
predator,12,0.0,0,[0.2630133  0.33038733 0.31382708 0.2436105  0.30839351],"(0.1, 0.1)"
predator,13,0.0,0,[0.26945843 0.36638717 0.31888536 0.27476739 0.32619687],"(0.1, 0.1)"
predator,14,0.0,0,[0.31314233 0.37272726 0.36221515 0.30444616 0.3325524 ],"(0.1, 0.1)"
predator,15,0.0,0,[0.33844932 0.41345851 0.4090233  0.33012205 0.38006636],"(0.1, 0.1)"
predator,16,0.0,0,[0.36296495 0.45579776 0.45062038 0.35029805 0.39673135],"(0.1, 0.1)"
predator,17,0.0,0,[0.37966722 0.46113881 0.46256263 0.39776211 0.41198634],"(0.1, 0.1)"
predator,18,0.0,0,[0.40687266 0.48872443 0.48039058 0.42012725 0.46026223],"(0.1, 0.1)"
predator,19,0.0,0,[0.41717206 0.52418924 0.48144807 0.44107389 0.49905549],"(0.1, 0.1)"
predator,20,0.0,0,[0.4597992  0.53409906 0.52516797 0.45870036 0.53518966],"(0.1, 0.1)"
predator,21,0.0,0,[0.46389612 0.54389806 0.57235629 0.50752484 0.55400263],"(0.1, 0.1)"
predator,22,0.0,0,[0.51335238 0.55715043 0.60595927 0.51012603 0.55968493],"(0.1, 0.1)"
predator,23,0.0,0,[0.52835574 0.56471364 0.620193   0.52892459 0.59750044],"(0.1, 0.1)"
predator,24,0.0,0,[0.57501538 0.59658377 0.6602843  0.55224332 0.61558374],"(0.1, 0.1)"
predator,25,0.0,0,[0.59938413 0.62783834 0.70759364 0.58123189 0.64259461],"(0.1, 0.1)"
predator,26,0.0,0,[0.63555064 0.63464116 0.74939759 0.58897119 0.65765338],"(0.1, 0.1)"
predator,27,0.0,0,[0.68487911 0.63743747 0.75650666 0.59161249 0.68894544],"(0.1, 0.1)"
predator,28,0.0,0,[0.6934198  0.64732199 0.77244752 0.62128731 0.69945133],"(0.1, 0.1)"
predator,29,0.0,0,[0.70828051 0.65410332 0.77972896 0.65615889 0.73159166],"(0.1, 0.1)"
predator,30,0.0,0,[0.75039019 0.66456862 0.78335507 0.69132289 0.75171798],"(0.1, 0.1)"
predator,31,0.0,0,[0.76725082 0.68468164 0.78591629 0.71614866 0.7578839 ],"(0.1, 0.1)"
predator,32,0.0,0,[0.78557838 0.7033493  0.79348681 0.75607134 0.79324532],"(0.1, 0.1)"
predator,33,0.0,0,[0.83487508 0.74238341 0.81299874 0.78499953 0.83881241],"(0.1, 0.1)"
predator,34,0.0,0,[0.8674113  0.78572448 0.85769739 0.83098916 0.84355487],"(0.1, 0.1)"
predator,35,0.0,0,[0.90728233 0.82173005 0.86200418 0.85417965 0.85225374],"(0.1, 0.1)"
predator,36,0.0,0,[0.94045685 0.86354461 0.87277732 0.86020374 0.8948306 ],"(0.1, 0.1)"
predator,37,0.0,0,[0.94532569 0.8786979  0.90468854 0.87770409 0.94124923],"(0.1, 0.1)"
predator,38,0.0,0,[0.96355401 0.92088193 0.91443568 0.91904748 0.969382  ],"(0.1, 0.1)"
predator,39,0.0,0,[0.98515982 0.96921147 0.93704644 0.92618676 0.98885373],"(0.1, 0.1)"
predator,40,0.0,0,[0.9893227  1.         0.95262205 0.96533294 1.        ],"(0.1, 0.1)"
predator,41,0.0,0,[1.         1.         0.99306203 0.98342136 1.        ],"(0.1, 0.1)"
predator,42,0.0,0,[1.       1.       0.994527 1.       1.      ],"(0.1, 0.1)"
predator,43,0.0,0,[1.         1.         0.99716249 1.         1.        ],"(0.1, 0.1)"
predator,44,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,45,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,46,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,47,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,48,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,49,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,50,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,51,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,52,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,53,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,54,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,55,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,56,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,57,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,58,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,59,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,60,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,61,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,62,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,63,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,64,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,65,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,66,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,67,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,68,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,69,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,70,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,71,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,72,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,73,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,74,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,75,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,76,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,77,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,78,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,79,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,80,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,81,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,82,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,83,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,84,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,85,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,86,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,87,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,88,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,89,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,90,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,91,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,92,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,93,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,94,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,95,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,96,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,97,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,98,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,99,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,100,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,101,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,102,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,103,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,104,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,105,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,106,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,107,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,108,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,109,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,110,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,111,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,112,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,113,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,114,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,115,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
predator,116,0.0,0,[1. 1. 1. 1. 1.],"(0.1, 0.1)"
